permno,adate,qdate,public_date,bm,TICKER
10138,1985-12-31,1986-03-31,1986-06-30,0.110,
10138,1985-12-31,1986-03-31,1986-07-31,0.121,
10138,1985-12-31,1986-06-30,1986-08-31,0.137,TROW
10138,1985-12-31,1986-06-30,1986-09-30,0.137,TROW
10138,1985-12-31,1986-06-30,1986-10-31,0.137,TROW
10138,1985-12-31,1986-09-30,1986-11-30,0.187,TROW
10138,1985-12-31,1986-09-30,1986-12-31,0.187,TROW
10138,1985-12-31,1986-09-30,1987-01-31,0.187,TROW
10138,1986-12-31,1986-12-31,1987-02-28,0.192,TROW
10138,1986-12-31,1986-12-31,1987-03-31,0.192,TROW
10138,1986-12-31,1986-12-31,1987-04-30,0.192,TROW
10138,1986-12-31,1987-03-31,1987-05-31,0.142,TROW
10138,1986-12-31,1987-03-31,1987-06-30,0.142,TROW
10138,1986-12-31,1987-03-31,1987-07-31,0.142,TROW
10138,1986-12-31,1987-06-30,1987-08-31,0.178,TROW
10138,1986-12-31,1987-06-30,1987-09-30,0.178,TROW
10138,1986-12-31,1987-06-30,1987-10-31,0.178,TROW
10138,1986-12-31,1987-09-30,1987-11-30,0.232,TROW
10138,1986-12-31,1987-09-30,1987-12-31,0.232,TROW
10138,1986-12-31,1987-09-30,1988-01-31,0.232,TROW
10138,1987-12-31,1987-12-31,1988-02-29,0.412,TROW
10138,1987-12-31,1987-12-31,1988-03-31,0.412,TROW
10138,1987-12-31,1987-12-31,1988-04-30,0.412,TROW
10138,1987-12-31,1988-03-31,1988-05-31,0.313,TROW
10138,1987-12-31,1988-03-31,1988-06-30,0.313,TROW
10138,1987-12-31,1988-03-31,1988-07-31,0.313,TROW
10138,1987-12-31,1988-06-30,1988-08-31,0.289,TROW
10138,1987-12-31,1988-06-30,1988-09-30,0.289,TROW
10138,1987-12-31,1988-06-30,1988-10-31,0.289,TROW
10138,1987-12-31,1988-09-30,1988-11-30,0.283,TROW
10138,1987-12-31,1988-09-30,1988-12-31,0.283,TROW
10138,1987-12-31,1988-09-30,1989-01-31,0.283,TROW
10138,1988-12-31,1988-12-31,1989-02-28,0.325,TROW
10138,1988-12-31,1988-12-31,1989-03-31,0.325,TROW
10138,1988-12-31,1988-12-31,1989-04-30,0.325,TROW
10138,1988-12-31,1989-03-31,1989-05-31,0.295,TROW
10138,1988-12-31,1989-03-31,1989-06-30,0.295,TROW
10138,1988-12-31,1989-03-31,1989-07-31,0.295,TROW
10138,1988-12-31,1989-06-30,1989-08-31,0.275,TROW
10138,1988-12-31,1989-06-30,1989-09-30,0.275,TROW
10138,1988-12-31,1989-06-30,1989-10-31,0.275,TROW
10138,1988-12-31,1989-09-30,1989-11-30,0.255,TROW
10138,1988-12-31,1989-09-30,1989-12-31,0.255,TROW
10138,1988-12-31,1989-09-30,1990-01-31,0.255,TROW
10138,1989-12-31,1989-12-31,1990-02-28,0.241,TROW
10138,1989-12-31,1989-12-31,1990-03-31,0.241,TROW
10138,1989-12-31,1989-12-31,1990-04-30,0.241,TROW
10138,1989-12-31,1990-03-31,1990-05-31,0.246,TROW
10138,1989-12-31,1990-03-31,1990-06-30,0.246,TROW
10138,1989-12-31,1990-03-31,1990-07-31,0.246,TROW
10138,1989-12-31,1990-06-30,1990-08-31,0.273,TROW
10138,1989-12-31,1990-06-30,1990-09-30,0.273,TROW
10138,1989-12-31,1990-06-30,1990-10-31,0.273,TROW
10138,1989-12-31,1990-09-30,1990-11-30,0.376,TROW
10138,1989-12-31,1990-09-30,1990-12-31,0.376,TROW
10138,1989-12-31,1990-09-30,1991-01-31,0.376,TROW
10138,1990-12-31,1990-12-31,1991-02-28,0.325,TROW
10138,1990-12-31,1990-12-31,1991-03-31,0.325,TROW
10138,1990-12-31,1990-12-31,1991-04-30,0.325,TROW
10138,1990-12-31,1991-03-31,1991-05-31,0.280,TROW
10138,1990-12-31,1991-03-31,1991-06-30,0.280,TROW
10138,1990-12-31,1991-03-31,1991-07-31,0.280,TROW
10138,1990-12-31,1991-06-30,1991-08-31,0.303,TROW
10138,1990-12-31,1991-06-30,1991-09-30,0.303,TROW
10138,1990-12-31,1991-06-30,1991-10-31,0.303,TROW
10138,1990-12-31,1991-09-30,1991-11-30,0.258,TROW
10138,1990-12-31,1991-09-30,1991-12-31,0.258,TROW
10138,1990-12-31,1991-09-30,1992-01-31,0.258,TROW
10138,1991-12-31,1991-12-31,1992-02-29,0.204,TROW
10138,1991-12-31,1991-12-31,1992-03-31,0.204,TROW
10138,1991-12-31,1991-12-31,1992-04-30,0.204,TROW
10138,1991-12-31,1992-03-31,1992-05-31,0.257,TROW
10138,1991-12-31,1992-03-31,1992-06-30,0.257,TROW
10138,1991-12-31,1992-03-31,1992-07-31,0.257,TROW
10138,1991-12-31,1992-06-30,1992-08-31,0.261,TROW
10138,1991-12-31,1992-06-30,1992-09-30,0.261,TROW
10138,1991-12-31,1992-06-30,1992-10-31,0.261,TROW
10138,1991-12-31,1992-09-30,1992-11-30,0.278,TROW
10138,1991-12-31,1992-09-30,1992-12-31,0.278,TROW
10138,1991-12-31,1992-09-30,1993-01-31,0.278,TROW
10138,1992-12-31,1992-12-31,1993-02-28,0.235,TROW
10138,1992-12-31,1992-12-31,1993-03-31,0.235,TROW
10138,1992-12-31,1992-12-31,1993-04-30,0.235,TROW
10138,1992-12-31,1993-03-31,1993-05-31,0.253,TROW
10138,1992-12-31,1993-03-31,1993-06-30,0.253,TROW
10138,1992-12-31,1993-03-31,1993-07-31,0.253,TROW
10138,1992-12-31,1993-06-30,1993-08-31,0.256,TROW
10138,1992-12-31,1993-06-30,1993-09-30,0.256,TROW
10138,1992-12-31,1993-06-30,1993-10-31,0.256,TROW
10138,1992-12-31,1993-09-30,1993-11-30,0.202,TROW
10138,1992-12-31,1993-09-30,1993-12-31,0.202,TROW
10138,1992-12-31,1993-09-30,1994-01-31,0.202,TROW
10138,1993-12-31,1993-12-31,1994-02-28,0.232,TROW
10138,1993-12-31,1993-12-31,1994-03-31,0.232,TROW
10138,1993-12-31,1993-12-31,1994-04-30,0.232,TROW
10138,1993-12-31,1994-03-31,1994-05-31,0.247,TROW
10138,1993-12-31,1994-03-31,1994-06-30,0.247,TROW
10138,1993-12-31,1994-03-31,1994-07-31,0.247,TROW
10138,1993-12-31,1994-06-30,1994-08-31,0.266,TROW
10138,1993-12-31,1994-06-30,1994-09-30,0.266,TROW
10138,1993-12-31,1994-06-30,1994-10-31,0.266,TROW
10138,1993-12-31,1994-09-30,1994-11-30,0.223,TROW
10138,1993-12-31,1994-09-30,1994-12-31,0.223,TROW
10138,1993-12-31,1994-09-30,1995-01-31,0.223,TROW
10138,1994-12-31,1994-12-31,1995-02-28,0.252,TROW
10138,1994-12-31,1994-12-31,1995-03-31,0.252,TROW
10138,1994-12-31,1994-12-31,1995-04-30,0.252,TROW
10138,1994-12-31,1995-03-31,1995-05-31,0.215,TROW
10138,1994-12-31,1995-03-31,1995-06-30,0.215,TROW
10138,1994-12-31,1995-03-31,1995-07-31,0.215,TROW
10138,1994-12-31,1995-06-30,1995-08-31,0.219,TROW
10138,1994-12-31,1995-06-30,1995-09-30,0.219,TROW
10138,1994-12-31,1995-06-30,1995-10-31,0.219,TROW
10138,1994-12-31,1995-09-30,1995-11-30,0.179,TROW
10138,1994-12-31,1995-09-30,1995-12-31,0.179,TROW
10138,1994-12-31,1995-09-30,1996-01-31,0.179,TROW
10138,1995-12-31,1995-12-31,1996-02-29,0.194,TROW
10138,1995-12-31,1995-12-31,1996-03-31,0.194,TROW
10138,1995-12-31,1995-12-31,1996-04-30,0.194,TROW
10138,1995-12-31,1996-03-31,1996-05-31,0.187,TROW
10138,1995-12-31,1996-03-31,1996-06-30,0.187,TROW
10138,1995-12-31,1996-03-31,1996-07-31,0.187,TROW
10138,1995-12-31,1996-06-30,1996-08-31,0.170,TROW
10138,1995-12-31,1996-06-30,1996-09-30,0.170,TROW
10138,1995-12-31,1996-06-30,1996-10-31,0.170,TROW
10138,1995-12-31,1996-09-30,1996-11-30,0.173,TROW
10138,1995-12-31,1996-09-30,1996-12-31,0.173,TROW
10138,1995-12-31,1996-09-30,1997-01-31,0.173,TROW
10138,1996-12-31,1996-12-31,1997-02-28,0.142,TROW
10138,1996-12-31,1996-12-31,1997-03-31,0.142,TROW
10138,1996-12-31,1996-12-31,1997-04-30,0.142,TROW
10138,1996-12-31,1997-03-31,1997-05-31,0.169,TROW
10138,1996-12-31,1997-03-31,1997-06-30,0.169,TROW
10138,1996-12-31,1997-03-31,1997-07-31,0.169,TROW
10138,1996-12-31,1997-06-30,1997-08-31,0.134,TROW
10138,1996-12-31,1997-06-30,1997-09-30,0.134,TROW
10138,1996-12-31,1997-06-30,1997-10-31,0.134,TROW
10138,1996-12-31,1997-09-30,1997-11-30,0.114,TROW
10138,1996-12-31,1997-09-30,1997-12-31,0.114,TROW
10138,1996-12-31,1997-09-30,1998-01-31,0.114,TROW
10138,1997-12-31,1997-12-31,1998-02-28,0.134,TROW
10138,1997-12-31,1997-12-31,1998-03-31,0.134,TROW
10138,1997-12-31,1997-12-31,1998-04-30,0.134,TROW
